epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,1899.71,1.30269,0.54683,0.00322,0.92715,0.88395,0.95111,0.63982,1.08577,0.40039,0.00446,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,1929.21,1.31429,0.55055,0.00327,0.91951,0.89587,0.95295,0.64331,1.0761,0.39429,0.00439,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,1958.75,1.29343,0.54787,0.00325,0.93252,0.88175,0.95274,0.65262,1.049,0.38673,0.00423,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,1988.24,1.29375,0.54264,0.00323,0.92985,0.88104,0.95116,0.64936,1.05607,0.38551,0.00429,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,2018.24,1.30021,0.53882,0.00326,0.92131,0.89051,0.95026,0.63917,1.09159,0.39019,0.00448,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,2048.18,1.28728,0.5397,0.00323,0.93018,0.88674,0.955,0.63967,1.1245,0.3941,0.00474,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,2078.69,1.31186,0.54693,0.00324,0.92139,0.88813,0.95235,0.65188,1.05319,0.38571,0.00424,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,2107.78,1.26005,0.52793,0.00321,0.92249,0.89421,0.95116,0.65298,1.05022,0.37832,0.00426,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,2137.41,1.29591,0.53422,0.00317,0.93021,0.88764,0.95589,0.65432,1.05291,0.37897,0.00429,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,2166.73,1.28649,0.5375,0.00313,0.93603,0.88998,0.95501,0.65118,1.06973,0.38155,0.00442,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,2196.23,1.27241,0.52925,0.00316,0.9412,0.88342,0.95238,0.65206,1.05168,0.38041,0.00424,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,2225.74,1.26954,0.52731,0.00313,0.92756,0.88637,0.95357,0.65252,1.05062,0.38392,0.00423,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,2255.65,1.26746,0.53316,0.00322,0.92997,0.88591,0.95456,0.65227,1.07239,0.38869,0.00446,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,2285.82,1.25879,0.53223,0.00315,0.92229,0.89211,0.9542,0.65748,1.0422,0.37416,0.00422,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,2317.08,1.25372,0.51543,0.00312,0.9226,0.89167,0.95392,0.65826,1.0449,0.37387,0.0042,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,2346.98,1.27108,0.52679,0.00314,0.92096,0.89974,0.95499,0.65683,1.04654,0.37372,0.00426,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,2377.84,1.27232,0.53024,0.0031,0.93171,0.89183,0.95524,0.66299,1.03976,0.3743,0.00423,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,2408.52,1.25468,0.52719,0.00311,0.93561,0.89233,0.95831,0.66304,1.04505,0.37784,0.00423,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,2437.88,1.27248,0.52547,0.00307,0.93102,0.8884,0.95675,0.65516,1.05707,0.3747,0.0043,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,2467.59,1.25209,0.5267,0.0031,0.92568,0.90082,0.95505,0.65795,1.03516,0.37335,0.00415,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,2497.24,1.25466,0.52,0.00304,0.93306,0.89196,0.95696,0.66278,1.03411,0.36771,0.00418,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,2526.58,1.25949,0.51839,0.00305,0.93285,0.8865,0.95618,0.65667,1.05649,0.37428,0.00429,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,2556.48,1.23011,0.50969,0.00307,0.93471,0.8914,0.95857,0.65934,1.04477,0.36919,0.00423,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,2586.84,1.25723,0.5207,0.00296,0.9281,0.89988,0.95865,0.66088,1.04168,0.36794,0.00425,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,2617.24,1.2503,0.51887,0.00302,0.94245,0.8897,0.95719,0.66123,1.04099,0.36429,0.00419,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,2646.72,1.2512,0.51689,0.00302,0.9349,0.90175,0.95639,0.66548,1.02959,0.36554,0.00415,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,2677.16,1.22303,0.50749,0.00303,0.94021,0.89774,0.95924,0.6641,1.0341,0.36456,0.00415,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,2706.83,1.22065,0.50048,0.003,0.9387,0.90072,0.96259,0.66681,1.03055,0.36332,0.00418,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
